timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-17T08:56	baseline	presentation	-	43.8	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	mind-map	-	48.1	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	document-excel	-	43.6	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	document-word	-	46.1	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	document-pdf	-	45.1	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	test-driven-development	-	83.9	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	systematic-debugging	-	83.4	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	code-refactor	-	38.1	baseline	-	初始评估	dry_run
2026-05-17T08:56	baseline	requesting-code-review	-	68.9	baseline	-	初始评估	dry_run
2026-05-17T09:03	baseline	frontend-design	-	38.8	baseline	-	初始评估	dry_run
2026-05-17T09:15	96a614b	frontend-design	38.8	53.2	keep	指令具体性+边界条件覆盖	流程补充参数规格+异常处理3条fallback	dry_run
2026-05-17T09:02	14e26bf	prompt-optimizer	38.1	49.0	keep	边界条件覆盖	补充4条异常处理规则，每步骤明确输入输出	dry_run
2026-05-17T09:10	baseline	ralph-cycle	-	30.3	baseline	-	初始评估	dry_run
2026-05-17T09:10	14e26bf	ralph-cycle	30.3	34.6	keep	检查点设计	新增步骤1和步骤5的用户确认检查点	dry_run
2026-05-17T09:05	0ff837e	prompt-optimizer	49.0	58.8	keep	边界条件覆盖	补充6种边界情况处理，提升鲁棒性	dry_run
2026-05-17T09:12	6944b24	ralph-cycle	34.6	41.6	keep	边界条件覆盖	补充4种异常场景：测试反复失败/用户拒绝/前置阻塞/Git冲突	dry_run2026-05-17T09:08	92d0cbe	prompt-optimizer	58.8	62.8	keep	检查点设计	添加翻译/大幅改写/格式变更的确认点	dry_run
2026-05-17T09:18	f74fb9f	frontend-design	53.2	55.3	keep	检查点设计	编码前增加用户确认环节	dry_run
2026-05-17T09:15	6d35893	ralph-cycle	41.6	47.6	keep	指令具体性	为各步骤补充具体工具名和命令，精简格式控制体积	dry_run
2026-05-17T09:18	baseline	hotel-docs	-	36.6	baseline	-	初始评估	dry_run
2026-05-17T09:18	76942e1	hotel-docs	36.6	44.1	keep	检查点设计	新增生成后确认/迭代调整流程和异常处理	dry_run
2026-05-17T09:20	157c84a	document-excel	43.6	52.3	keep	工作流清晰度	功能列表重构为5步有序流程	dry_run
2026-05-17T09:12	157c84a	code-refactor	38.1	48.9	keep	工作流清晰度	展开为3步流程，每步指定工具和具体操作	dry_run
2026-05-17T09:20	3529250	hotel-docs	44.1	45.6	keep	资源整合度	添加 test-prompts.json 资源引用	dry_run
2026-05-17T09:23	6235cd4	hotel-docs	45.6	50.6	keep	边界条件覆盖	扩展异常处理场景并精简格式控制体积	dry_run
2026-05-17T09:16	99b9935	code-refactor	48.9	54.9	keep	边界条件覆盖	补充文件不存在/无需修改/编译失败的fallback	dry_run
2026-05-17T09:23	27b524a	document-excel	52.3	56.3	keep	边界条件覆盖	新增3条异常处理	dry_run
2026-05-17T09:25	46c032f	document-excel	56.3	58.4	keep	检查点设计	生成前增加用户确认	dry_run
2026-05-17T09:19	603c2c0	code-refactor	54.9	58.9	keep	检查点设计	重构前确认备份/批量逐个确认	dry_run
2026-05-17T09:25	343b9e0	presentation	43.8	50.6	keep	边界条件覆盖	新增5种异常场景的fallback处理	dry_run
2026-05-17T09:26	1102f57	presentation	50.6	58.1	keep	指令具体性	添加python-pptx代码示例和输出路径规则	dry_run
2026-05-17T09:27	f658a53	presentation	58.1	64.2	keep	检查点设计	新增4个检查点+3轮迭代限制	dry_run
2026-05-17T09:28	efd3efa	document-pdf	45.1	48.7	keep	工作流清晰度	重构5步有序流程+操作对照表	dry_run
2026-05-17T09:29	8b46666	document-pdf	48.7	58.7	keep	边界条件覆盖	新增6条异常处理场景	dry_run
2026-05-17T09:30	1b2f2fd	document-pdf	58.7	62.2	keep	检查点设计	6步流程嵌入4个用户确认点	dry_run
2026-05-17T09:26	faf18db	document-word	46.1	52.0	keep	工作流清晰度	新增6步有序工作流，每步注明输入/工具/输出	dry_run
2026-05-17T09:28	baseline	skill-manager	-	50.6	baseline	-	初始评估	dry_run
2026-05-17T09:46	da9e1c9	skill-manager	50.6	57.1	keep	边界条件覆盖	7条紧凑边界场景：skills.sh不可达/目录冲突/npx失败等	dry_run
2026-05-17T09:47	b865c88	skill-manager	57.1	62.6	keep	检查点设计	4操作嵌入紧凑确认：展示→确认→执行	dry_run
2026-05-17T09:34	5fd640b	document-word	52.0	55.5	keep	检查点设计	新增3处用户确认检查点，精简体积至145%	dry_run
2026-05-17T09:34	f86199c	document-word	55.5	60.5	keep	边界条件覆盖	新增5条异常处理场景，精简至98%	dry_run
2026-05-17T09:48	779716e	mind-map	48.1	51.5	keep	工作流清晰度	5步工作流细化输入/工具/输出，增加图表选择决策规则	dry_run
2026-05-17T09:48	ffcaada	mind-map	51.5	55.5	keep	检查点设计	Step1/2/5新增3处用户确认检查点	dry_run
2026-05-17T09:48	7a2d909	mind-map	55.5	60.5	keep	边界条件覆盖	新增6条异常处理，精简至117%	dry_run
